node_costs,computation_time_ms,instance,selected_nodes_count,total_nodes,path_length,algorithm,objective_value,base_algorithm
47996,13,TSPA,100,200,22156,NearestNeighborAny2Regret_w1_1_start4,70152,NearestNeighborAny2Regret_w1_1
48414,13,TSPA,100,200,22311,NearestNeighborAny2Regret_w1_1_start5,70725,NearestNeighborAny2Regret_w1_1
49342,12,TSPA,100,200,22096,NearestNeighborAny2Regret_w1_1_start6,71438,NearestNeighborAny2Regret_w1_1
47917,13,TSPA,100,200,24719,NearestNeighborAny2Regret_w1_1_start7,72636,NearestNeighborAny2Regret_w1_1
48550,13,TSPA,100,200,25072,NearestNeighborAny2Regret_w1_1_start8,73622,NearestNeighborAny2Regret_w1_1
48292,6,TSPA,100,200,25673,NearestNeighborAny2Regret_w1_1_start9,73965,NearestNeighborAny2Regret_w1_1
48224,3,TSPA,100,200,24761,NearestNeighborAny2Regret_w1_1_start10,72985,NearestNeighborAny2Regret_w1_1
48801,4,TSPA,100,200,22810,NearestNeighborAny2Regret_w1_1_start11,71611,NearestNeighborAny2Regret_w1_1
48681,3,TSPA,100,200,23877,NearestNeighborAny2Regret_w1_1_start12,72558,NearestNeighborAny2Regret_w1_1
48886,3,TSPA,100,200,25822,NearestNeighborAny2Regret_w1_1_start13,74708,NearestNeighborAny2Regret_w1_1
48372,2,TSPA,100,200,25609,NearestNeighborAny2Regret_w1_1_start14,73981,NearestNeighborAny2Regret_w1_1
47496,3,TSPA,100,200,23098,NearestNeighborAny2Regret_w1_1_start15,70594,NearestNeighborAny2Regret_w1_1
48377,3,TSPA,100,200,26292,NearestNeighborAny2Regret_w1_1_start16,74669,NearestNeighborAny2Regret_w1_1
49402,2,TSPA,100,200,22031,NearestNeighborAny2Regret_w1_1_start17,71433,NearestNeighborAny2Regret_w1_1
48414,3,TSPA,100,200,22311,NearestNeighborAny2Regret_w1_1_start18,70725,NearestNeighborAny2Regret_w1_1
48983,3,TSPA,100,200,21998,NearestNeighborAny2Regret_w1_1_start19,70981,NearestNeighborAny2Regret_w1_1
48629,3,TSPA,100,200,23403,NearestNeighborAny2Regret_w1_1_start20,72032,NearestNeighborAny2Regret_w1_1
48530,3,TSPA,100,200,25524,NearestNeighborAny2Regret_w1_1_start21,74054,NearestNeighborAny2Regret_w1_1
48070,2,TSPA,100,200,24226,NearestNeighborAny2Regret_w1_1_start22,72296,NearestNeighborAny2Regret_w1_1
48377,3,TSPA,100,200,24477,NearestNeighborAny2Regret_w1_1_start23,72854,NearestNeighborAny2Regret_w1_1
48607,2,TSPA,100,200,22102,NearestNeighborAny2Regret_w1_1_start24,70709,NearestNeighborAny2Regret_w1_1
48414,2,TSPA,100,200,22311,NearestNeighborAny2Regret_w1_1_start25,70725,NearestNeighborAny2Regret_w1_1
48577,3,TSPA,100,200,22000,NearestNeighborAny2Regret_w1_1_start26,70577,NearestNeighborAny2Regret_w1_1
49253,3,TSPA,100,200,24612,NearestNeighborAny2Regret_w1_1_start27,73865,NearestNeighborAny2Regret_w1_1
48530,2,TSPA,100,200,21979,NearestNeighborAny2Regret_w1_1_start28,70509,NearestNeighborAny2Regret_w1_1
48842,3,TSPA,100,200,23585,NearestNeighborAny2Regret_w1_1_start29,72427,NearestNeighborAny2Regret_w1_1
48321,3,TSPA,100,200,24252,NearestNeighborAny2Regret_w1_1_start30,72573,NearestNeighborAny2Regret_w1_1
48192,2,TSPA,100,200,25838,NearestNeighborAny2Regret_w1_1_start31,74030,NearestNeighborAny2Regret_w1_1
48902,3,TSPA,100,200,25517,NearestNeighborAny2Regret_w1_1_start32,74419,NearestNeighborAny2Regret_w1_1
48861,2,TSPA,100,200,25032,NearestNeighborAny2Regret_w1_1_start33,73893,NearestNeighborAny2Regret_w1_1
48240,3,TSPA,100,200,25595,NearestNeighborAny2Regret_w1_1_start34,73835,NearestNeighborAny2Regret_w1_1
48297,3,TSPA,100,200,21713,NearestNeighborAny2Regret_w1_1_start35,70010,NearestNeighborAny2Regret_w1_1
48846,3,TSPA,100,200,23838,NearestNeighborAny2Regret_w1_1_start36,72684,NearestNeighborAny2Regret_w1_1
